category,error_code_number,error_code_name,message,cause,recommendation,resolution
General,20552,QueryUnsupportedCommandBehavior,"The command behavior ""%behavior;"" is not supported.",,Don't add the command behavior as a parameter for preview or GetSchema API request URL.,
General,20701,DataConsistencyFailedToGetSourceFileMetadata,Failed to retrieve source file ('%name;') metadata to validate data consistency.,"There's a transient issue on the sink data store, or retrieving metadata from the sink data store isn't allowed.",,
General,20703,DataConsistencyFailedToGetSinkFileMetadata,Failed to retrieve sink file ('%name;') metadata to validate data consistency.,"There's a transient issue on the sink data store, or retrieving metadata from the sink data store isn't allowed.",,
General,20704,DataConsistencyValidationNotSupportedForNonDirectBinaryCopy,Data consistency validation is not supported in current copy activity settings.,The data consistency validation is only supported in the direct binary copy scenario.,Remove the 'validateDataConsistency' property in the copy activity payload.,
General,20705,DataConsistencyValidationNotSupportedForLowVersionSelfHostedIntegrationRunt,'validateDataConsistency' is not supported in this version ('%version;') of Self Hosted Integration Runtime.,,"Check the supported integration runtime version and upgrade it to a higher version, or remove the 'validateDataConsistency' property from copy activities.",
General,20741,SkipMissingFileNotSupportedForNonDirectBinaryCopy,"Skip missing file is not supported in current copy activity settings, it's only supported with direct binary copy with folder.",,Remove 'fileMissing' of the skipErrorFile setting in the copy activity payload.,
General,20742,SkipInconsistencyDataNotSupportedForNonDirectBinaryCopy,"Skip inconsistency is not supported in current copy activity settings, it's only supported with direct binary copy when validateDataConsistency is true.",,Remove 'dataInconsistency' of the skipErrorFile setting in the copy activity payload.,
General,20743,SkipForbiddenFileNotSupportedForNonDirectBinaryCopy,"Skip forbidden file is not supported in current copy activity settings, it's only supported with direct binary copy with folder.",,Remove 'fileForbidden' of the skipErrorFile setting in the copy activity payload.,
General,20744,SkipForbiddenFileNotSupportedForThisConnector,Skip forbidden file is not supported for this connector: ('%connectorName;').,,Remove 'fileForbidden' of the skipErrorFile setting in the copy activity payload.,
General,20745,SkipInvalidFileNameNotSupportedForNonDirectBinaryCopy,"Skip invalid file name is not supported in current copy activity settings, it's only supported with direct binary copy with folder.",,Remove 'invalidFileName' of the skipErrorFile setting in the copy activity payload.,
General,20746,SkipInvalidFileNameNotSupportedForSource,Skip invalid file name is not supported for '%connectorName;' source.,,Remove 'invalidFileName' of the skipErrorFile setting in the copy activity payload.,
General,20747,SkipInvalidFileNameNotSupportedForSink,Skip invalid file name is not supported for '%connectorName;' sink.,,Remove 'invalidFileName' of the skipErrorFile setting in the copy activity payload.,
General,20748,SkipAllErrorFileNotSupportedForNonBinaryCopy,"Skip all error file is not supported in current copy activity settings, it's only supported with binary copy with folder.",,Remove 'allErrorFile' in the skipErrorFile setting in the copy activity payload.,
General,20771,DeleteFilesAfterCompletionNotSupportedForNonDirectBinaryCopy,"'deleteFilesAfterCompletion' is not support in current copy activity settings, it's only supported with direct binary copy.",,Remove the 'deleteFilesAfterCompletion' setting or use direct binary copy.,
General,20772,DeleteFilesAfterCompletionNotSupportedForThisConnector,'deleteFilesAfterCompletion' is not supported for this connector: ('%connectorName;').,,Remove the 'deleteFilesAfterCompletion' setting in the copy activity payload.,
General,27002,FailedToDownloadCustomPlugins,Failed to download custom plugins.,Invalid download links or transient connectivity issues.,"Retry if the message shows that it's a transient issue. If the problem persists, contact the support team. General connector errors",
General connector errors,9611,UserErrorOdbcInvalidQueryString,The following ODBC Query is not valid: '%'.,You provide a wrong or invalid query to fetch the data/schemas.,"Verify your query is valid and can return data/schemas. Use Script activity if you want to execute nonquery scripts and your data store is supported. Alternatively, consider to use stored procedure that returns a dummy result to execute your nonquery scripts.",
General connector errors,11775,,Failed to connect to your instance of Azure Database for PostgreSQL flexible server. '%',"Exact cause depends on the text returned in '%' . If it's The operation has timed out, it can be because the instance of PostgreSQL is stopped or because the network connectivity method configured for your instance doesn't allow connections from the Integration Runtime selected. User or password provided is incorrect. If it's 28P01: password authentication failed for user <youruser>, it means that the user provided doesn't exist in the instance or that the password is incorrect. If it's 28000: no pg_hba.conf entry for host ""###.###.###.###"", user ""<youruser>"", database ""<yourdatabase>"", no encryption, it means that the encryption method selected isn't compatible with the configuration of the server.","Confirm that the user provided exists in your instance of PostgreSQL and that the password corresponds to the one currently assigned to that user. Make sure that the encryption method selected is accepted by your instance of PostgreSQL, based on its current configuration. If the network connectivity method of your instance is configured for Private access (virtual network integration), use a Self-Hosted Integration Runtime (IR) to connect to it. If it's configured for Public access (allowed IP addresses), it's recommended to use an Azure IR with managed virtual network and deploy a managed private endpoint to connect to your instance. When it's configured for Public access (allowed IP addresses) a less recommended alternative consists in creating firewall rules in your instance to allow traffic originating on the IP addresses used by the Azure IR you're using.",
Amazon S3,,S3OperationFailed,S3 operation failed for: %s3Message;.,Errors occur in Amazon S3 API.,"See the inner S3 message in the current error to check the error details. For more information, see Amazon S3 error responses . For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Azure Blob Storage connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Azure Blob Storage connector in Azure Data Factory and Azure Synapse.",
Azure Synapse Analytics,,AzureBlobOperationFailed,"""Blob operation Failed. ContainerName: %containerName;, path: %path;.""",A problem with the Blob Storage operation.,"To check the error details, see Blob Storage error codes. For further help, contact the Blob Storage team. Invalid property during copy activity",
Azure Synapse Analytics,,AzureBlobOperationFailed,"Copy activity \<Activity Name> has an invalid ""source"" property. The source type is not compatible with the dataset \<Dataset Name> and its linked service \<Linked Service Name>. Please verify your input against.",The type defined in the dataset is inconsistent with the source or sink type that's defined in the copy activity.,,"Edit the dataset or pipeline JSON definition to make the types consistent, and then rerun the deployment."
Azure Synapse Analytics,,FIPSModeIsNotSupport,Fail to read data form Azure Blob Storage for Azure Blob connector needs MD5 algorithm which can't co-work with FIPS mode. Please change diawp.exe.config in self-hosted integration runtime install directory to disable FIPS policy following https://learn.microsoft.com/dotnet/framework/configure-apps/file- schema/runtime/enforcefipspolicy-element.,Then FIPS policy is enabled on the VM where the self-hosted integration runtime was installed.,Disable the FIPS mode on the VM where the self-hosted integration runtime was installed. Windows doesn't recommend the FIPS mode.,
Azure Synapse Analytics,,AzureBlobInvalidBlockSize,Block size should between %minSize; MB and 100 MB.,The block size is over the blob limitation. Error code: AzureStorageOperationFailedConcurrentWrite,,
Azure Synapse Analytics,,AzureBlobInvalidBlockSize,Error occurred when trying to upload a file. It's possible because you have multiple concurrent copy activities runs writing to the same file '%name;'. Check your ADF configuration.,You have multiple concurrent copy activity runs or applications writing to the same file. Error code: AzureAppendBlobConcurrentWriteConflict,,
Azure Synapse Analytics,,AzureBlobInvalidBlockSize,"Detected concurrent write to the same append blob file, it's possible because you have multiple concurrent copy activities runs or applications writing to the same file '%name;'. Please check your ADF configuration and retry.","Multiple concurrent writing requests occur, which causes conflicts on file content.",,
Azure Synapse Analytics,,AzureBlobFailedToCreateContainer,"Unable to create Azure Blob container. Endpoint: '%endpoint;', Container Name: '%containerName;'.",This error happens when copying data with Azure Blob Storage account public access.,"For more information about connection errors in the public endpoint, see Connection error in public endpoint. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Azure Cosmos DB connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Azure Cosmos DB and Azure Cosmos DB for NoSQL connectors in Azure Data Factory and Azure Synapse.",
Azure Synapse Analytics,,AzureBlobFailedToCreateContainer,"Request size is too large Symptoms: When you copy data into Azure Cosmos DB with a default write batch size, you receive the following error: Request size is too large.","Azure Cosmos DB limits the size of a single request to 2 MB. The formula is request size = single document size * write batch size. If your document size is large, the default behavior will result in a request size that's too large.",,"You can tune the write batch size. In the copy activity sink, reduce the write batch size value (the default value is 10000). If reducing the write batch size value to 1 still doesn't work, change your Azure Cosmos DB SQL API from V2 to V3. To complete this configuration, you have two options: Option 1: Change your authentication type to service principal or system- assigned managed identity or user-assigned managed identity. Option 2: If you still want to use account key authentication, follow these steps: 1. Create an Azure Cosmos DB for NoSQL linked service. 2. Update the linked service with the following template. JSON { ""name"": ""<CosmosDbV3>"", ""type"": ""Microsoft.DataFactory/factories/linkedservices"", ""properties"": { ""annotations"": [], ""type"": ""CosmosDb"", ""typeProperties"": { ""useV3"": true, ""accountEndpoint"": ""<account endpoint>"", ""database"": ""<database name>"", ""accountKey"": { ""type"": ""SecureString"", ""value"": ""<account key>"" } } } }"
Azure Synapse Analytics,,AzureBlobFailedToCreateContainer,"Unique index constraint violation Symptoms: When you copy data into Azure Cosmos DB, you receive the following error: Message=Partition range id 0 | Failed to import mini-batch. Exception was",,,
Azure Synapse Analytics,,AzureBlobFailedToCreateContainer,"{""Errors"":[""Encountered exception while executing function. Exception = Error: {\""Errors\"":[\""Unique index constraint violation.\""]}...","There are two possible causes: Cause 1: If you use Insert as the write behavior, this error means that your source data has rows or objects with same ID. Cause 2: If you use Upsert as the write behavior and you set another unique key to the container, this error means that your source data has rows or objects with different IDs but the same value for the defined unique key.",,"For cause 1, set Upsert as the write behavior. For cause 2, make sure that each document has a different value for the defined unique key."
Azure Synapse Analytics,,AzureBlobFailedToCreateContainer,"Request rate is large Symptoms: When you copy data into Azure Cosmos DB, you receive the following error: Type=Microsoft.Azure.Documents.DocumentClientException, Message=Message: {""Errors"":[""Request rate is large""]}","The number of used request units (RUs) is greater than the available RUs configured in Azure Cosmos DB. To learn how Azure Cosmos DB calculates RUs, see Request units in Azure Cosmos DB. Azure Data Factory and Synapse pipelines infer the schema from the first 10 Azure Cosmos DB documents. If some document columns or properties don't contain values, the schema isn't detected and consequently isn't displayed.",,"Try either of the following two solutions: Increase the container RUs number to a greater value in Azure Cosmos DB. This solution will improve the copy activity performance, but it will incur more cost in Azure Cosmos DB. Decrease writeBatchSize to a lesser value, such as 1000, and decrease parallelCopies to a lesser value, such as 1. This solution will reduce copy run performance, but it won't incur more cost in Azure Cosmos DB. Columns missing in column mapping Symptoms: When you import a schema for Azure Cosmos DB for column mapping, some columns are missing. You can tune the query as shown in the following code to force the column values to be displayed in the result set with empty values. Assume that the impossible column is missing in the first 10 documents). Alternatively, you can manually add the column for mapping. SQL select c.company, c.category, c.comments, (c.impossible??'') as impossible from c"
Azure Synapse Analytics,,AzureBlobFailedToCreateContainer,"The GuidRepresentation for the reader is CSharpLegacy Symptoms: When you copy data from Azure Cosmos DB MongoAPI or MongoDB with the universally unique identifier (UUID) field, you receive the following error: Failed to read data via MongoDB client., Source=Microsoft.DataTransfer.Runtime.MongoDbV2Connector,Type=System.FormatExc eption, Message=The GuidRepresentation for the reader is CSharpLegacy which requires the binary sub type to be UuidLegacy not UuidStandard.,Source=MongoDB.Bson,’“,","There are two ways to represent the UUID in Binary JSON (BSON): UuidStardard and UuidLegacy. By default, UuidLegacy is used to read data. You will receive an error if your UUID data in MongoDB is UuidStandard.",,"In the MongoDB connection string, add the uuidRepresentation=standard option. For more information, see MongoDB connection string."
MongoDB,,CosmosDbSqlApiOperationFailed,CosmosDbSqlApi operation Failed. ErrorMessage: %msg;.,A problem with the CosmosDbSqlApi operation. This applies to the Azure Cosmos DB for NoSQL connector specifically.,"To check the error details, see Azure Cosmos DB help document. For further help, contact the Azure Cosmos DB team. Error code: CosmosDbSqlApiPartitionKeyExceedStorage",
MongoDB,,CosmosDbSqlApiOperationFailed,"The size of data each logical partition can store is limited, current partitioning design and workload failed to store more than the allowed amount of data for a given partition key value.","The data size of each logical partition is limited, and the partition key reached the maximum size of your logical partition.","Check your Azure Cosmos DB partition design. For more information, see Logical partitions. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Azure Data Explorer connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Azure Data Explorer connector in Azure Data Factory and Azure Synapse. Error code: KustoMappingReferenceHasWrongKind",
MongoDB,,CosmosDbSqlApiOperationFailed,Mapping reference should be of kind 'Csv'. Mapping reference: '%reference;'. Kind '%kind;'.,The ingestion mapping reference is not CSV type.,Create a CSV ingestion mapping reference.,
Azure Synapse Analytics,,KustoWriteFailed,Write to Kusto failed with following error: '%message;'.,Wrong configuration or transient errors when the sink reads data from the source.,"For transient failures, set retries for the activity. For permanent failures, check your configuration and contact support. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Azure Data Lake Storage connectors in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Azure Data Lake Storage Gen1 and Gen2 connectors in Azure Data Factory and Azure Synapse. Azure Data Lake Storage Gen1",
Azure Synapse Analytics,,KustoWriteFailed,The underlying connection was closed: Could not establish trust relationship for the SSL/TLS secure channel. Symptoms: Copy activity fails with the following error:,,,
Azure Synapse Analytics,,KustoWriteFailed,"ErrorCode = UserErrorFailedFileOperation, Error Message = The underlying connection was closed: Could not establish trust relationship for the SSL/TLS secure channel.",The certificate validation failed during the TLS handshake.,,"As a workaround, use the staged copy to skip the Transport Layer Security (TLS) validation for Azure Data Lake Storage Gen1. You need to reproduce this issue and gather the network monitor (netmon) trace, and then engage your network team to check the local network configuration."
Azure Synapse Analytics,,KustoWriteFailed,The remote server returned an error: (403) Forbidden Symptoms: Copy activity fail with the following error:,,,
Azure Synapse Analytics,,KustoWriteFailed,"The remote server returned an error: (403) Forbidden. Response details: {""RemoteException"": {""exception"":""AccessControlException""""message"":""CREATE failed with error 0x83090aa2 (Forbidden. ACL verification failed. Either the resource does not exist or the user is not authorized to perform the requested operation.)....",One possible cause is that the service principal or managed identity you use doesn't have permission to access certain folders or files.,,"Grant appropriate permissions to all the folders and subfolders you need to copy. For more information, see Copy data to or from Azure Data Lake Storage Gen1."
Azure Synapse Analytics,,KustoWriteFailed,"Failed to get access token by using service principal. ADAL Error: service_unavailable Symptoms: Copy activity fails with the following error: Failed to get access token by using service principal. ADAL Error: service_unavailable, The remote server returned an error: (503) Server Unavailable.","When the Service Token Server (STS) that's owned by Microsoft Entra ID is not available, that means it's too busy to handle requests, and it returns HTTP error 503.",,Rerun the copy activity after several minutes. Azure Data Lake Storage Gen2
Azure Data Lake Storage Gen2,,ADLSGen2OperationFailed,ADLS Gen2 operation failed for: %adlsGen2Message;.%exceptionData;.,"Different causes may lead to this error. Check below list for possible cause analysis and related recommendation. If Azure Data Lake Storage Gen2 throws error Check the detailed error message thrown indicating some operation failed. by Azure Data Lake Storage Gen2. If the error is a transient failure, retry the operation. For further help, contact Azure Storage support, and provide the request ID in error message. If the error message contains the string To troubleshoot this error, see Copy and ""Forbidden"", the service principal or transform data in Azure Data Lake Storage managed identity you use might not have Gen2. sufficient permission to access Azure Data Lake Storage Gen2. If the error message contains the string The error might be caused by a transient ""InternalServerError"", the error is returned by failure. If so, retry the operation. If the issue Azure Data Lake Storage Gen2. persists, contact Azure Storage support and provide the request ID from the error message.",,
Parquet,,ADLSGen2ForbiddenError,ADLS Gen2 failed for forbidden: Storage operation % on % get failed with 'Operation returned an invalid status code 'Forbidden'.,There are two possible causes: 1. The integration runtime is blocked by network access in Azure storage account firewall settings. 2. The service principal or managed identity doesn’t have enough permission to access the data.,"1. Check your Azure storage account network settings to see whether the public network access is disabled. If disabled, use a managed virtual network integration runtime and create a private endpoint to access. For more information, see Managed virtual network and Build a copy pipeline using managed VNet and private endpoints. 2. If you have enabled selected virtual networks and IP addresses in your Azure storage account network setting: a. It's possible because some IP address ranges of your integration runtime are not allowed by your storage account firewall settings. Add the Azure integration runtime IP addresses or the self-hosted integration runtime IP address to your storage account firewall. For Azure integration runtime IP addresses, see Azure Integration Runtime IP addresses, and to learn how to add IP ranges in the storage account firewall, see Managing IP network rules. b.",
PostgreSQL,23704,AzurePostgreSqlNpgsqlDataTypeNotSupported,Partition column name must be specified.,"No partition column name is provided, and it couldn't be decided automatically.",,
PostgreSQL,23705,AzurePostgreSqlNpgsqlPartitionColumnNameNotProvid,"The data type of the chosen Partition Column, '%partitionColumn;', is '%dataType;' and this data type is not supported for partitioning.",,"Pick a partition column with int, bigint, smallint, serial, bigserial, smallserial, timestamp with or without time zone, time without time zone or date data type. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Azure Files connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Azure Files connector in Azure Data Factory and Azure Synapse.",
Azure Synapse Analytics,,AzureFileOperationFailed,Azure File operation Failed. Path: %path;. ErrorMessage: %msg;.,A problem with the Azure Files storage operation.,"To check the error details, see Azure Files help. For further help, contact the Azure Files team. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Azure Synapse Analytics, Azure SQL Database, SQL Server, Azure SQL Managed Instance, and Amazon RDS for SQL Server connectors in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Azure Synapse Analytics, Azure SQL Database, SQL Server, Azure SQL Managed Instance, and Amazon RDS for SQL Server connectors in Azure Data Factory and Azure Synapse.",
Azure Synapse Analytics,,SqlFailedToConnect,"Cannot connect to SQL Database: '%server;', Database: '%database;', User: '%user;'. Check the linked service configuration is correct, and make sure the SQL Database firewall allows the integration runtime to access.","Different causes can lead to this error. Check the following list for possible cause analysis and related recommendation. For Azure SQL, if the error message contains the On the Azure SQL firewall, set the string ""SqlErrorNumber=47073"", it means that public Deny public network access option network access is denied in the connectivity setting. to No. For more information, see Azure SQL connectivity settings. For Azure SQL, if the error message contains an SQL For a recommendation, see",,
Azure Synapse Analytics,,SqlOperationFailed,A database operation failed. Please search error to get more details.,"Different causes can lead to this error. Check the following list for possible cause analysis and related recommendation. If the error message contains the string ""SqlException"", If the SQL error isn't clear, try SQL Database throws an error indicating some specific to alter the database to the operation failed. latest compatibility level '150'. It can throw the latest version SQL errors. For more information, see the documentation. For more information about troubleshooting SQL issues, search by SQL error code in Database engine errors. For further help, contact Azure SQL support. If the error message contains the string Check the size of both the ""PdwManagedToNativeInteropException"", it's usually source and sink columns. For caused by a mismatch between the source and sink further help, contact Azure column sizes. SQL support.",,
Azure Synapse Analytics,,SqlUnauthorizedAccess,Cannot connect to '%connectorName;'. Detail Message: '%message;',The credentials are incorrect or the sign in account can't access the SQL database.,Check to ensure that the sign in account has sufficient permissions to access the SQL database.,
Azure Synapse Analytics,,SqlOpenConnectionTimeout,Open connection to database timeout after '%timeoutValue;' seconds.,The problem could be an SQL database transient failure.,Retry the operation to update the linked service connection string with a larger connection time-out value.,
Azure Synapse Analytics,,SqlAutoCreateTableTypeMapFailed,Type '%dataType;' in source side cannot be mapped to a type that supported by sink side(column name:'%columnName;') in autocreate table.,The autocreation table can't meet the source requirement.,"Update the column type in mappings, or manually create the sink table in the target server.",
Azure Synapse Analytics,,SqlDataTypeNotSupported,A database operation failed. Check the SQL errors.,"If the issue occurs in the SQL source and the error is related to SqlDateTime overflow, the data value exceeds the logic type range (1/1/1753 12:00:00 AM - 12/31/9999 11:59:59 PM). If the issue occurs on the SQL sink and the error is related to SqlDateTime overflow, the data value exceeds the allowed range in the sink table.","Cast the type to the string in the source SQL query or, in the copy activity column mapping, change the column type to String. Update the corresponding column type to the datetime2 type in the sink table.",
Azure Synapse Analytics,,SqlInvalidDbStoredProcedure,The specified Stored Procedure is not valid. It could be caused by that the stored procedure doesn't return any data. Invalid Stored Procedure script: '%scriptName;'.,"Different causes can lead to this error. Check the following list for possible cause analysis and related recommendation. The specified stored procedure is invalid. Validate the stored procedure by using SQL Tools. Make sure that the stored procedure can return data. The Lookup activity requires the stored Use the Stored Procedure Activity if the procedure to return some value, but the stored procedure is expected to return no stored procedure code doesn't return any data. value.",,
Azure Synapse Analytics,,SqlInvalidDbQueryString,The specified SQL Query is not valid. It could be caused by that the query doesn't return any data. Invalid query: '%query;',The specified SQL query is invalid. The cause might be that the query doesn't return any data.,Validate the SQL query by using SQL Tools. Make sure that the query can return data.,
Azure Synapse Analytics,,SqlInvalidColumnName,"Column '%column;' does not exist in the table '%tableName;', ServerName: '%serverName;', DatabaseName: '%dbName;'.",The column can't be found because the configuration might be incorrect.,"Verify the column in the query, structure in the dataset, and mappings in the activity.",
Azure Synapse Analytics,,SqlBatchWriteTimeout,Timeouts in SQL write operation.,The problem could be caused by an SQL database transient failure.,"Retry the operation. If the problem persists, contact Azure SQL support.",
Azure SQL,,SqlBatchWriteTransactionFailed,SQL transaction commits failed.,"If exception details constantly indicate a transaction time out, the network latency between the integration runtime and the database is greater than the default threshold of 30 seconds. If the exception details intermittently indicate that the SQL connection is broken, it might be a transient network failure or an SQL database side issue.",Update the SQL-linked service connection string with a connection timeout value that's equal to or greater than 120 and rerun the activity. Retry the activity and review the SQL database side metrics.,
Azure SQL,,SqlBulkCopyInvalidColumnLength,SQL Bulk Copy failed due to receive an invalid column length from the bcp client.,SQL Bulk Copy failed because it received an invalid column length from the bulk copy program (bcp) utility client.,"To identify which row has encountered the problem, enable the fault tolerance feature on the copy activity. This can redirect problematic rows to the storage for further investigation. For more information, see Fault tolerance of copy activity.",
Azure SQL,,SqlConnectionIsClosed,The connection is closed by SQL Database.,The SQL connection is closed by the SQL database when a high concurrent run and the server terminate the connection.,"Retry the connection. If the problem persists, contact Azure SQL support. Error code: SqlServerInvalidLinkedServiceCredentialMissing",
Azure SQL,,SqlConnectionIsClosed,The SQL Server linked service is invalid with its credential being missing.,The linked service wasn't configured properly.,Validate and fix the SQL server linked service. Error code: SqlParallelFailedToDetectPartitionColumn,
Azure SQL,,SqlConnectionIsClosed,"Failed to detect the partition column with command '%command;', %message;.",There's no primary key or unique key in the table.,Check the table to make sure that a primary key or a unique index is created. Error code: SqlParallelFailedToDetectPhysicalPartitions,
Azure SQL,,SqlConnectionIsClosed,"Failed to detect the physical partitions with command '%command;', %message;.",No physical partitions are created for the table. Check your database.,Reference Create Partitioned Tables and Indexes to solve this issue. Error code: SqlParallelFailedToGetPartitionRangeSynapse,
Azure SQL,,SqlConnectionIsClosed,"Failed to get the partitions for azure synapse with command '%command;', %message;.",No physical partitions are created for the table. Check your database.,Reference Partitioning tables in dedicated SQL pool to solve this issue.,
Azure SQL,,SqlConnectionIsClosed,"Conversion failed when converting from a character string to uniqueidentifier Symptoms: When you copy data from a tabular data source (such as SQL Server) into Azure Synapse Analytics using staged copy and PolyBase, you receive the following error: ErrorCode=FailedDbOperation,Type=Microsoft.DataTransfer.Common.Shared.HybridDe liveryException, Message=Error happened when loading data into Azure Synapse Analytics., Source=Microsoft.DataTransfer.ClientLibrary,Type=System.Data.SqlClient.SqlExce ption, Message=Conversion failed when converting from a character string to uniqueidentifier...",Azure Synapse Analytics PolyBase can't convert an empty string to a GUID.,,"In the copy activity sink, under PolyBase settings, set the use type default option to false."
Azure SQL,,SqlConnectionIsClosed,"Expected data type: DECIMAL(x,x), Offending value Symptoms: When you copy data from a tabular data source (such as SQL Server) into Azure Synapse Analytics by using staged copy and PolyBase, you receive the following error: ErrorCode=FailedDbOperation,Type=Microsoft.DataTransfer.Common.Shared.HybridDe liveryException, Message=Error happened when loading data into Azure Synapse Analytics., Source=Microsoft.DataTransfer.ClientLibrary,Type=System.Data.SqlClient.SqlExce ption, Message=Query aborted-- the maximum reject threshold (0 rows) was reached while reading from an external source: 1 rows rejected out of total 415 rows processed. (/file_name.txt) Column ordinal: 18, Expected data type: DECIMAL(x,x), Offending value:..",Azure Synapse Analytics PolyBase can't insert an empty string (null value) into a decimal column.,,"In the copy activity sink, under PolyBase settings, set the use type default option to false."
Azure SQL,,SqlConnectionIsClosed,"Java exception message: HdfsBridge::CreateRecordReader Symptoms: You copy data into Azure Synapse Analytics by using PolyBase and receive the following error: Message=110802;An internal DMS error occurred that caused this operation to fail. Details: Exception: Microsoft.SqlServer.DataWarehouse.DataMovement.Common.ExternalAccess.HdfsAcces sException, Message: Java exception raised on call to HdfsBridge_CreateRecordReader. Java exception",,,
Azure SQL,,SqlConnectionIsClosed,HdfsBridge::CreateRecordReader - Unexpected error encountered creating the record reader.: Error [HdfsBridge::CreateRecordReader - Unexpected error encountered creating the record reader.] occurred while accessing external file.....,"The cause might be that the schema (total column width) is too large (larger than 1 MB). Check the schema of the target Azure Synapse Analytics table by adding the size of all columns: Int = 4 bytes Bigint = 8 bytes Varchar(n), char(n), binary(n), varbinary(n) = n bytes Nvarchar(n), nchar(n) = n*2 bytes Date = 6 bytes Datetime/(2), smalldatetime = 16 bytes Datetimeoffset = 20 bytes Decimal = 19 bytes Float = 8 bytes Money = 8 bytes Smallmoney = 4 bytes Real = 4 bytes Smallint = 2 bytes Time = 12 bytes Tinyint = 1 byte",,Reduce column width to less than 1 MB. Or use a bulk insert approach by disabling PolyBase.
Azure SQL,,SqlConnectionIsClosed,The condition specified using HTTP conditional header(s) isn't met Symptoms: You use SQL query to pull data from Azure Synapse Analytics and receive the following error: ...StorageException: The condition specified using HTTP conditional header(s) is not met...,Azure Synapse Analytics encountered an issue while querying the external table in Azure Storage. Azure SQL Database s1 has hit input/output (I/O) limits.,,"Run the same query in SQL Server Management Studio (SSMS) and check to see whether you get the same result. If you do, open a support ticket to Azure Synapse Analytics and provide your Azure Synapse Analytics server and database name. Performance tier is low and leads to copy failure Symptoms: You copy data into Azure SQL Database and receive the following error: Database operation failed. Error message from database execution : ExecuteNonQuery requires an open and available Connection. The connection's current state is closed. Upgrade the Azure SQL Database performance tier to fix the issue."
Azure SQL,,SqlConnectionIsClosed,String or binary data is truncated Symptoms: An error occurs when you copy data into an on-premises Azure SQL Server table.,The SQL table schema definition has one or more columns with less length than expected.,,"To resolve the issue, try the following: 1. To troubleshoot which rows have the issue, apply SQL sink fault tolerance, especially redirectIncompatibleRowSettings . ７ Note Fault tolerance might require extra execution time, which could lead to higher costs. 2. Double-check the redirected data against the SQL table schema column length to see which columns need to be updated. 3. Update the table schema accordingly."
Azure SQL,,FailedDbOperation,User does not have permission to perform this action.,,"Make sure the user configured in the Azure Synapse Analytics connector must have 'CONTROL' permission on the target database while using PolyBase to load data. For more detailed information, refer to this document.",
Azure Synapse Analytics,,Msg 105208,"Currently, ingesting data using the COPY command into an Azure Storage account that is using the new DNS partitioning feature results in an error. DNS partition feature enables customers to create up to 5,000 storage accounts per subscription. Resolutions: Provision a storage account in a subscription that doesn't use the new Azure Storage DNS partition feature (currently in Public Preview).",,,
